return,crashed
38.822,False
38.52,False
37.381,False
39.234,False
35.705,False
8.076,True
37.797,False
38.308,False
39.167,False
15.676,True
37.388,False
38.504,False
38.646,False
38.407,False
38.647,False
38.929,False
37.688,False
3.804,True
22.575,True
37.345,False
38.363,False
38.652,False
38.007,False
37.91,False
37.685,False
33.757,True
38.398,False
30.991,True
38.367,False
37.116,False
32.027,True
37.852,False
37.683,False
38.013,False
37.299,False
39.451,False
21.457,True
37.179,False
36.768,False
37.52,False
37.047,True
38.013,False
38.88,False
9.813,True
37.824,False
38.335,False
2.435,True
37.652,False
37.87,False
38.317,False


